
ISO3,Country,Hazard,Death-reported records,Damage-reported records
COL,Colombia,Drought,0,0
COL,Colombia,Extreme temperature,0,0
MEX,Mexico,Flood,44,6
MEX,Mexico,Storm,71,49
MEX,Mexico,Earthquake,11,8
MEX,Mexico,Wildfire,0,0
MEX,Mexico,Drought,0,1
MEX,Mexico,Extreme temperature,7,1
CAN,Canada,Flood,12,14
CAN,Canada,Storm,14,14
CAN,Canada,Earthquake,0,0
CAN,Canada,Wildfire,5,6
CAN,Canada,Drought,0,0
CAN,Canada,Extreme temperature,4,2
AUS,Australia,Flood,26,34
AUS,Australia,Storm,22,31
AUS,Australia,Earthquake,0,0
AUS,Australia,Wildfire,13,19
AUS,Australia,Drought,0,2
AUS,Australia,Extreme temperature,2,0
NZL,New Zealand,Flood,4,17
NZL,New Zealand,Storm,4,7
NZL,New Zealand,Earthquake,3,5
NZL,New Zealand,Wildfire,0,1
NZL,New Zealand,Drought,0,1
NZL,New Zealand,Extreme temperature,0,1
THA,Thailand,Flood,55,33
THA,Thailand,Storm,23,6
THA,Thailand,Earthquake,4,2
THA,Thailand,Wildfire,0,0
THA,Thailand,Drought,0,4
THA,Thailand,Extreme temperature,3,0
KOR,South Korea,Flood,20,13
KOR,South Korea,Storm,28,20
KOR,South Korea,Earthquake,0,1
KOR,South Korea,Wildfire,4,1
KOR,South Korea,Drought,0,0
KOR,South Korea,Extreme temperature,3,1
TWN,Taiwan,Flood,5,4
TWN,Taiwan,Storm,48,39
TWN,Taiwan,Earthquake,8,9
TWN,Taiwan,Wildfire,0,0
TWN,Taiwan,Drought,0,0
TWN,Taiwan,Extreme temperature,1,1
